question	context	answers
The passenger who had called him back wanted	"Six people were traveling in a compartment on a train. Five of them were quiet and well behaved , but the sixth was a rude young man who was causing a lot of trouble to the other passengers. At last this young man got out of the station with his two heavy bags. None of the other passengers helped him, but one of them waited until the rude young man was very far away, and then opened the window to him, "" You left something behind in the compartment!"" Then he closed the window again. The young man turned around and hurried back with his two bags. He was very tired when he arrived, but he shouted through the window, "" What did I leave behind?"" As the train began to move again, the passenger who had called him back opened the window and said, "" A very bad impression!"""	['to punish him for his bad behavior']
Which of the following is NOT true about the newly found ring?	"Astronomers recently found another ring around the planet Saturn -- and it's the biggest one yet. This newly discovered ring stretches about 15 million miles across, which makes a loop big enough to fit a billion Earths inside. It may be even bigger and reach 22 million miles across at its diameter . Saturn's new ring is now the biggest known ring in the solar system. This ring, like Saturn's other rings, is not one solid piece of rock. Instead, it is made up of millions or billions of tiny rocks that orbit the planet all together and give the appearance of a unified ring. Unlike the more visible rings, however, this big one is mysterious -- the pieces are far apart, and the ring cannot be seen from the surface of the Earth. If all the pieces were stuck together, they'd be slightly bigger than a rock a half-mile wide. Astronomers suspect that the newly discovered ring gets its material from Saturn's outermost moon, Phoebe. For example, the dust in the ring circles Saturn in the same path and the same direction as Phoebe. Plus, the surface of Phoebe is marked with holes and places where rock has been knocked away, the result of collisions between Phoebe and other moons and rocks. These collisions could have sent dust out into space to become part of the big ring. The discovery of the ring could help explain other mysteries surrounding Saturn and its dozens of moons. The moon called Iapetus, for example, is two-toned: one side is gray; the other more reddish. Iapetus is within the newly discovered ring, but it orbits in the opposite direction. As a result, some researchers say, debris from the ring may have coated and color1ed one side of Iapetus as it moved through space, and left the other side alone. ""The cause of Iapetus' strange color1 distribution ... has been a puzzle that now seems solved,"" said Joseph Burns, a scientist. But not everyone agrees. Some think the ring alone may not be able to explain Iapetus' funny color1ing."	['It can be seen from the Earth.']
Which of the following is true?	White bread is thought to have a long history.In ancient Egypt, people discovered white bread about 8,000 years ago. There is something interesting about white bread.In the old times,many cities in ancient Greece said they owned the best quality.In the middle ages,bakers in England carefully _ their secrets of making bread.Anyone who hoped to learn the art of making bread must spend seven years on it.In times of war and disasters ,bread and wheat were the first things to bekept closely. However,in the mid-1800s,an engineer from Switzerland invented a new kind mill to produce more white bread at a faster speed.Soon bread making became widely popular all over Europe.In 1928,America had the first company to produce and sell mountains of white bread.	['America had the first company to sell mountains of white bread.']
We learn that compared to Americans, Australians _ .	"Once upon a time, there was a scholar who wanted to gain more knowledge each day even though he had already gained enough knowledge. One day, he came to visit a saint and wanted to be his student. The saint provided some tea. He slowly filled the scholar's cup: the cup was full, yet he kept pouring and pouring. The scholar burst out, ""Stop! You can't add anything to something that's already full!"" The saint set down the teapot and replied, ""Exactly."" Whether it's the silence between notes in music, or some open time in your schedule, you need space to act effectively. Yet most of us, myself included, tend to stuff as much as possible into whatever room is available-closets, schedules, budgets, relationships, and even the mind itself. However, some people know how to avoid overstuffing their life. For example, in Australia, it seemed that most people there operated at about 85% of their capacity ,unlike Americans pushing as close to 100% as possible. So when you run into Australians you know in the street, they have time to hang out and talk with you. Remember the cup: its value is in the space, the emptiness it holds. How to empty your ""cup""? Be mindful of the element of space, openness , and emptiness in your life. This includes room in a drawer, the volume of air in a kitchen, and open-mindedness in a friend. Sometimes you're just stuck with a big bucket of tasks yet to do. But at least empty the bucket faster than you fill it with new tasks. Put some space between finishing one thing and staring another. For example, after sending one email, take a breath before replying to another one. Drop the stuff you can no longer afford to _ around. At sea level, you can run with a brick in your backpack, but if you're hiking on a mountain, that brick has got to go."	['spare more time for themselves']
The novel Unstoppable intends to inspire kids that _ .	"Former National Football League player and children's author Tim Green has added another book to his list of accomplishments: Unstoppable. The book tells the story of a 12-year -old boy named Harrison, who survives life in a cruel foster home before he finally finds a loving family. Once he settles in and realizes his natural football ability, tragedy strikes again and he loses his leg to a deadly bone cancer. Unstoppable follows Harrison's incredible journey as he faces many challenges in his life. Tim Green says he decided to write a novel about a kid facing cancer after watching how his wife fought to survive her own illness. ""Her mental and physical toughness were more heroic to me than anything I'd ever seen in the national sports leagues,"" Green told TFK Kid Reporter Zachary J. Lewis. After watching his wife's battle, Green said, he knew he needed to write about a person who struggled through a serious illness. But because the target age for his books is teen, he needed to tell the story through the eyes of someone that age. When friends introduced Green to Jeffrey Keith, Green knew he had found the right person to help him"" capture the heroism that it takes to fight cancer"". Cancer-survivor Jeffrey Keith lost his leg to disease at age twelve, but went on to be the goalie for the Boston College Division 1 Lacrosse Team and was also the first _ to run 3,300 miles across the country. When Green heard Jeffrey Keith's story, he knew it was the perfect narrative on which to base his next book. TFK asked Keith what it felt like to read Unstoppable for the first time. ""Tim captured what it felt like for me to go through this experience and battle back,"" Keith said. ""After I read the book, Tim asked me to describe it in one word, and I said 'awesome'. Tim's work sends a message to all the kids across the country that are facing obstacles that can have nothing to do with cancer: you are all unstoppable, as long as you believe it."""	['they can overcome any obstacles ahead']
When a person is badly hurt and is unconscious, he _ .	Suppose a man has a car accident. He is hurt badly and is _ , that is, he can't think, speak, or hear. His family takes him to the hospital. The doctors tell the family that his brain is dead. A machine can make him breathe . Now the patient's family must answer some difficult questions. Should they think he is dead? Should they ask the doctors to use the machine to make him breathe? Sometimes machines can make an unconscious person breathe for years. However if his brain is dead , he will never think, speak, or hear again. Then, should his family ask the doctors not to use the machine and let him die? Someone who is unconscious can't say he wants to die. Can his family say this for him? Some people think this is a good idea. Some think otherwise. Many people are hurt when machines keep a person alive. The unconscious person doesn't know it. Machines only make the family and friends hurt longer.	"[""doesn't feel pain""]"
What can be a suitable title for the text?	If you need to spend time on the road,it's important to find ways to keep safe on your feet. Don't suppose it's your right of way. Yes, you might be crossing at the right place, at the right time, within the crosswalk area, but you are still exposed to danger. It could be a distracted driver, or a cyclist with a loose sense of traffic rules, so you could still get hurt. You can be in the right legally, but that won't be much help when you're in the hospital. Follow pedestrian signals. Just as drivers aren't supposed to speed up to beat a light when crossing through an intersection, pedestrians need to take the same care when obeying their own signals. If the hand is flashing and the countdown is into single digits ,stay where you are. Trying to outrun the flashing hand is unsafe,especially as cars try to clear the intersection before the light turns red. Give drivers enough time to stop when crossing. Don't suppose that drivers will jam on their brakes when you hit the crosswalk signals. Some provinces, such as Alberta, issue a ticket if you don't give drivers enough time to brake. Cross quickly. Once you've followed all of the other rules, and it is safe to cross the street, don't then just wander along in front of six lanes of traffic. There's no need to run or jog, but respect the drivers who respected you enough to stop for you.	['Tips to Keep Safe on Your Feet']
According to the writer of the letter, college is a time _ .	"Dear XXX, As we drove off from Columbia, I wanted to write a letter to you to tell you all that is on my mind. First, I want to tell you how proud we are. You have become a talented and accomplished young woman. You should be as proud of yourself as we are. College will be the most important years in your life. It is in college that you will truly discover what learning is about. You often question ""what good is this course"". I encourage you to be inquisitive , but I also want to tell you: ""Education is what you have left after all that is taught is forgotten."" What I mean by that is -- the material taught isn't as important as you gaining the ability to learn a new subject, and the ability to analyze a new problem. Do your best in classes, but don't let pressure get to you. If you graduate and learn something in your four years, we would feel happy. Your Columbia degree will take you far, even if you don't graduate with honors. So please don't give yourself pressure. The only thing that matters is that you learned. The only measurement you should use is that you tried. Most importantly, make friends and be happy. College friends are often the best in life, because during college you are closer to them physically than to your family. Also, going through independence and adulthood is a natural bonding experience. Pick a few friends and become really close to them -- pick the ones who are genuine and sincere to you. Don't worry about their hobbies, grades, looks, or even personalities. If you think you like someone, tell her. You have very little to lose. People are not perfect, so as long as they are genuine and sincere, trust them and be good to them. They will give back. This is my secret of success -- that I am genuine with people and trust them (unless they do something to lose my trust). College is the four years where you have: *the greatest amount of free time *the first chance to be independentk%s5$u *the most flexibility to change *the lowest risk for making mistakes So please treasure your college years - make the best of your free time, become an independent thinker in control of your destiny. May Columbia become the happiest four years in your life, and may you blossom into just what you dream to be. Love, XXX"	['during which one needs to learn to be independent']
According to the passage, students who date in middle school may _	"Students who date in middle school have significantly worse study skills. They are four times more likely to drop out of school and report twice as much alcohol and tobacco use as their single classmates, according to new research from the University of Georgia. ""Romantic relationships are a trademark of adolescence, but very few studies have examined how adolescents differ in the development of these relationships,"" said Pamela Orpinas, study author and professor in the College of Public Health and head of the Department of Health Promotion and Behavior.[: _ Z _ X _ X _ K] Orpinas followed a group of 624 students over a seven-year period from 6th to 12th grade. Each year, the group of students completed a survey indicating whether they had dated and reported the frequency of different behaviors, including the use of drugs and alcohol. Their teachers completed questionnaires about the students' academic efforts. He found some students never or hardly ever reported dating from middle to high school, and these students had consistently the best study skills according to their teachers. Other students dated infrequently in middle school but increased the frequency of dating in high school. ""At all points in time, teachers rated the students who reported the lowest frequency of dating as having the best study skills and the students with the highest dating as having the worst study skills,"" according to the journal article. Study skills refer to behaviors that lead to academic success such as doing work for extra credit being well organized, finishing homework, working hard and reading assigned chapters. ""Dating a classmate may have the same emotional complications of dating a co-worker,"" Orpinas said, ""When the couple break up, they have to continue to see each other in class and perhaps witness the ex-partner dating someone else. It is reasonable to think this could be linked to depression and divert attention from studying."" ""Dating should not be considered a ceremony of growth in middle school,"" Orpinas concluded."	['have poorer academic performances']
A standard treatment for depression includes all the following ways EXCEPT _ .	"Researchers invited 79 people between the ages of 18 and 50 years old who had been diagnosed with depression. 33 of the participants were offered 20 music therapy sessions, in addition to their usual treatment for depression. The other 46 participants received stan dard treatment, and acted as the control group. The one-on-one music therapy sessions each lasted 60 minutes and took place twice a week. Trained music therapists helped each participant to improvise music. On average, each participant attended 18 music therapy sessions. 29 individuals (88 percent) attended at least 15 sessions. The participants in both groups were followed up at three and six months and assessed forsymptoms of depression and anxiety. In the final analysis, researchers discovered that af ter three months of participation, individuals who received music therapy showed greatly fewer symptoms of depression and anxiety, and scored better on general functioning. Although improvements still remained after six months, the difference between the groups was no longer statistically significant. Co-researcher Christian Gold, Ph.D., explained the study findings: ""Our trial has shown that music therapy, when added to standard care including medication, psychotherapy and counseling , helps people to improve their levels of depression and anxiety. Music therapy has specific qualities that allow people to express themselves and interact in a non-verbal way - even when they cannot find the words to describe their inner experiences."" Given the success of the study, researchers say it needs to be repeated with a larger sample of people, and that further research is needed to assess the cost-effectiveness of such therapy. Outside experts believe this study shows that music ther apy is an effective addition to traditional therapy and improves outcomes. Mike Crawford, M.D., said, ""This is a high-quality randomized trial of music therapy specifically for depression, and the results suggest that it can improve the mood and general functioning of people with depression."""	['Music therapy']
