context	question	answers
Unlike Modern English, Old English is a language rich in morphological diversity. It maintains several distinct cases: the nominative, accusative, genitive, dative and (vestigially) instrumental. The only remnants of this system in Modern English are in the forms of a few pronouns (such as I/me/mine, she/her, who/whom/whose) and in the possessive ending -'s, which derives from the old (masculine and neuter) genitive ending -es. In Old English, however, nouns and their modifying words take appropriate endings depending on their case.	What trait does Old English possess that Modern English lacks?	['morphological diversity']
"Classified as a Subtropical Mediterranean climate (Köppen Csb), Santa Monica enjoys an average of 310 days of sunshine a year. It is located in USDA plant hardiness zone 11a. Because of its location, nestled on the vast and open Santa Monica Bay, morning fog is a common phenomenon in May, June and early July (caused by ocean temperature variations and currents). Like other inhabitants of the greater Los Angeles area, residents have a particular terminology for this phenomenon: the ""May Gray"" and the ""June Gloom"". Overcast skies are common during June mornings, but usually the strong sun burns the fog off by noon. In the late winter/early summer, daily fog is a phenomenon too. It happens suddenly and it may last some hours or past sunset time. Nonetheless, it will sometimes stay cloudy and cool all day during June, even as other parts of the Los Angeles area enjoy sunny skies and warmer temperatures. At times, the sun can be shining east of 20th Street, while the beach area is overcast. As a general rule, the beach temperature is from 5 to 10 degrees Fahrenheit (3 to 6 degrees Celsius) cooler than it is inland during summer days, and 5–10 degrees warmer during winter nights."	What have locals coined the morning time in May?	"['""May Gray""']"
Han Chinese make up the vast majority of the population, and the largest Han subgroup are the speakers of Wu varieties of Chinese. There are also 400,000 members of ethnic minorities, including approximately 200,000 She people and approximately 20,000 Hui Chinese[citation needed]. Jingning She Autonomous County in Lishui is the only She autonomous county in China.	How many non-She people are there?	['<no_answer>']
Tucson was probably first visited by Paleo-Indians, known to have been in southern Arizona about 12,000 years ago. Recent archaeological excavations near the Santa Cruz River have located a village site dating from 2100 BC.[citation needed] The floodplain of the Santa Cruz River was extensively farmed during the Early Agricultural period, circa 1200 BC to AD 150. These people constructed irrigation canals and grew corn, beans, and other crops while gathering wild plants and hunting. The Early Ceramic period occupation of Tucson saw the first extensive use of pottery vessels for cooking and storage. The groups designated as the Hohokam lived in the area from AD 600 to 1450 and are known for their vast irrigation canal systems and their red-on-brown pottery.[citation needed]	Who were probably the first group of people in Tuscan?	['Paleo-Indians']
In February 2015, YouTube announced the launch of a new app specifically for use by children visiting the site, called YouTube Kids. It allows parental controls and restrictions on who can upload content, and is available for both Android and iOS devices. Later on August 26, 2015, YouTube Gaming was launched, a platform for video gaming enthusiasts intended to compete with Twitch.tv. 2015 also saw the announcement of a premium YouTube service titled YouTube Red, which provides users with both ad-free content as well as the ability to download videos among other features.	What was launched to compete with Twitch.VT?	['<no_answer>']
The Second Sino-Japanese War had seen tensions rise between Imperial Japan and the United States; events such as the Panay incident and the Nanking Massacre turned American public opinion against Japan. With the occupation of French Indochina in the years of 1940–41, and with the continuing war in China, the United States placed embargoes on Japan of strategic materials such as scrap metal and oil, which were vitally needed for the war effort. The Japanese were faced with the option of either withdrawing from China and losing face or seizing and securing new sources of raw materials in the resource-rich, European-controlled colonies of South East Asia—specifically British Malaya and the Dutch East Indies (modern-day Indonesia). In 1940, Imperial Japan signed the Tripartite Pact with Nazi Germany and Fascist Italy.	What war saw tensions arise between between Imperial Japan and the United States?	['The Second Sino-Japanese War']
This growing coalition expanded the potential enemies that Rome might face, and moved Rome closer to confrontation with major powers. The result was more alliance-seeking, on the part of both the Roman confederacy and city-states seeking membership (and protection) within that confederacy. While there were exceptions to this (such as military rule of Sicily after the First Punic War), it was not until after the Second Punic War that these alliances started to harden into something more like an empire, at least in certain locations. This shift mainly took place in parts of the west, such as the southern Italian towns that sided with Hannibal.	What helped Rome move closer to a confrontation with several other major powers in the area?	['This growing coalition']
Plymouth City Council is responsible for waste management throughout the city and South West Water is responsible for sewerage. Plymouth's electricity is supplied from the National Grid and distributed to Plymouth via Western Power Distribution. On the outskirts of Plympton a combined cycle gas-powered station, the Langage Power Station, which started to produce electricity for Plymouth at the end of 2009.	What body handles waste management in Plymouth?	['Plymouth City Council']
The NBA's New Orleans Hornets became the first major league sports franchise based in Oklahoma when the team was forced to relocate to Oklahoma City's Ford Center, now known as Chesapeake Energy Arena, for two seasons following Hurricane Katrina in 2005. In July 2008, the Seattle SuperSonics, a franchise owned by the Professional Basketball Club LLC, a group of Oklahoma City businessmen led by Clayton Bennett, relocated to Oklahoma City and announced that play would begin at the Ford Center as the Oklahoma City Thunder for the 2008–09 season, becoming the state's first permanent major league franchise.	Which NBA team temporarily relocated to Oklahoma?	['New Orleans Hornets']
The City of New York has an official television station run by the NYC Media Group and broadcasting from Bronx Community College, and Cablevision operates News 12 The Bronx, both of which feature programming based in the Bronx. Co-op City was the first area in the Bronx, and the first in New York beyond Manhattan, to have its own cable television provider. The local public-access television station BronxNet originates from Herbert H. Lehman College, the borough's only four year CUNY school, and provides government-access television (GATV) public affairs programming in addition to programming produced by Bronx residents.	What channel in the Bronx does Cablevision run?	['News 12 The Bronx']
