question	answers	context
"Born in 1864 to a clergyman and his dutiful wife, Virginia grows up as a Southern belle in the town of Dinwiddie, Virginia. Her education is strictly limited to the bare minimum, with anything that might disturb her quiet and comfortable existence vigorously avoided. Thus prepared for life, Virginia falls for the first handsome young man who crosses her path—Oliver Treadwell, the black sheep of a family of capitalist entrepreneurs who, during the time of Reconstruction, brought industry and the railroad to the South. Oliver, who has been abroad and has only recently arrived in Dinwiddie, is a dreamer and an intellectual. An aspiring playwright, his literary ambitions are more important to him than money, and he refuses his uncle's offer to work in his bank. However, when Virginia falls in love with him he realizes that he must be able to support a family, and eventually accepts his uncle's offer to work for the railroad. The young couple get married and have three children, a boy and two girls. Gradually perfecting her household skills, Virginia is able to get by on very little money. When, after many years, Oliver's first play is put on the stage in New York City, his expectations are high. However, the show is a complete failure as the play is far too intellectual and radical for a Broadway audience who wants to be entertained rather than reformed. Reading about the flop in the local newspaper, Virginia for the first time in her life leaves her children, asking her mother to take care of them for a day or two, and takes the night train to New York to be with, and console, her husband—only to be rejected by him, who is in a state of severe depression. When he has recovered from the shock, Oliver makes yet another concession to society and public taste and starts writing ""trash"". Throughout the years, Virginia leads a vicarious life: She is happy when her husband and children are happy; she makes sure their clothes are in perfect condition while neglecting her own outward appearance; and she is eager to provide for her children the education she herself has been denied. When, at one point, she realizes that the women her age whom she has known since childhood still look quite young while she has aged prematurely, she quickly persuades herself to believe that a life of altruistic subservience is more than worthwhile, that living and acting the way she does is her duty and God's will. Her father's sudden if honourable death—he unsuccessfully tries to prevent the lynching of an innocent young African American and is stabbed in the process by an angry and drunken young man—adds to the gloom that starts creeping into her life, especially when she sees that, as a widow, her mother suddenly loses all her will to live. When she dies only a few months after her husband, Virginia has a premonition that her own fate when losing Oliver could be a similar one. Meanwhile, Oliver's first successful play—a trashy one—premières in New York, with some more to follow in quick succession, and, as the money keeps pouring in, the family move into a bigger house in Dinwiddie. They now employ a number of servants, including an African American butler. With the children gone—their son and one daughter are at college, while the other daughter has married a much older widower with two grown-up children and has also flown the nest—and Oliver frequently in New York to supervise the staging of his plays, Virginia's life becomes increasingly empty. Having ""outlived her usefulness"", the days seem endless to her, and with all the servants about the house there is absolutely no housework for her to do either. Now in her mid-forties, Virginia for the first time in her life spends Christmas alone at home. The biggest blow, however, is yet to come: When she accompanies Oliver to New York for a première, she finds out to her dismay that he has been betraying her with a famous actress who stars in one of his plays. For the last time summoning up all her courage, she takes a taxi and pays her an unexpected call but immediately realizes when talking to her that she has no chance of winning her husband back. Without many words, Oliver asks her to let him divorce her, but clinging to the only thing she has left in her life—her marriage—she refuses. The novel ends on a somewhat optimistic note when Virginia, again alone in the empty house in Dinwiddie, receives a letter from her son telling her that he is going to leave Oxford before he has completed his two-year course at the university in order to come back and stay with his mother."	['It was a flop.']	What was the result of Oliver's first play?
This Conan story is set in mythical Hyborian versions of IndiaâPakistan (then united) and Afghanistan (Vendhya and Ghulistan respectively). The death of Bunda Chand, King of Vendhya, via a curse channeled to his soul through a lock of his hair leads to the ascension of his sister, Devi Yasmina, who vows to get revenge on his killers, the Black Seers of Yimsha. Conan, meanwhile, has become chief of a tribe of Afghuli hillmen. Seven of his men have been captured by the Vendhyans and Yasmina intends to use them as collateral to force Conan to kill the Seers. However, Conan infiltrates the border fort where they are held and kidnaps the Devi instead (with the intent of exchanging her for the seven men). The problems are complicated by Kerim Shah, an agent of King Yezdigerd of Turan, who arranged Bunda Chand's death in order to lead an army through the mountains and invade in the subsequent confusion and turmoil. His contact with the Black Seers, Khemsa, has fallen in love with the Devi's maid Gitara. They decide to strike out on their own, kill the seven hillmen and pursue Conan and Yasmina to kill them both as well. Conan escapes into the Afghuli villages of the Zaibar Pass and Himelian Mountains (Hyborian equivalents of the Khyber pass and Himalayas). Yar Afzal, chief of the Wazuli village, is killed by Khemsa and the people turn against Conan, yet he manages to escape again with Yasmina. Khemsa again catches up with the pair but his attack is interrupted by four Rakhshas from Yimsha. His original masters kill Khemsa and Gitara, stun Conan and kidnap Yasmina. Khemsa survives a fall from the mountain-side long enough to give Conan a warning and a magic girdle. Shortly after, Kerim Shah and a group of Irakzai (Iraqis), also intent on capturing the Devi for King Yezdigerd, encounter Conan. They join together to rescue Yasmina, both open about their private reasons for doing so, and approach the mountain of Yimsha. Most of the men are killed in the attempt but, following Khemsa's warnings, Conan succeeds in killing the Black Seers and rescuing Yasmina. As they escape they encounter the Turanian army of King Yezdigerd in conflict with Conan's former hillmen (who blame him for the death of the seven captives). Despite their attitude, Conan feels obliged to assist but cannot abandon the Devi. This problem is resolved when a Vendhyan army, invading the mountains to rescue their Queen, arrives. Together, Conan with his Afghulis and Yasmina with her cavalry, they destroy the Turanian army. Conan leaves with the hillmen and the Devi returns to her country. Though they are strongly attracted to each other, the affair between Conan and Yasmina never gets beyond some kissing. Their respective roles pull them in opposite directions - she the Queen of Vendhiya, he the leader of roving hillemen engaged in constant robbery against her domain. In the original Howard stories, they never meet again. In the 1957 Return of Conan BjĂśrn Nyberg and L. Sprague de Camp let Conan and Yasmina meet again for one night of intensive love-making, many years later - when he is already King of Aquilonia and there is no more a conflict of interest.	"['Four Rahshas from Yimsha', ""Khemsa's masters""]"	Who kidnaps Devi Yasmina?
The year is 1793. In Brittany during the Royalist insurrection of the Chouannerie, a troop of “Blues” (soldiers of the French Republic) encounter in the bocage Michelle Fléchard, a peasant woman, and her three young children, who are fleeing from the conflict. She explains that her husband and parents have been killed in the peasant revolt that started the insurrection. The troop’s commander, Sergeant Radoub, convinces them to look after the family. Meanwhile, at sea, a group of Royalist “Whites” are planning to land the Marquis de Lantenac, a Breton aristocrat whose leadership could transform the fortunes of the rebellion. While at sea, a sailor fails to properly secure his cannon, which rolls out of control and damages the ship. The sailor risks his life to secure the cannon and save their ship. Lantenac awards the man a medal for his bravery and then executes him (without trial) for failing in his duty. Their corvette is spotted by ships of the Republic. Lantenac slips away in a boat with one supporter, and the corvette distracts the Republican ships by provoking a battle the damaged ship cannot win. The corvette is destroyed, but Lantenac lands safely in Brittany. Lantenac is hunted by the Blues, but is protected by a local beggar, to whom he gave alms in the past. He meets up with his supporters, and they immediately launch an attack on the Blues. Part of the troop with the family is captured. Lantenac orders them all to be shot, including Michelle. He takes the children with him as hostages. The beggar finds the bodies, and discovers that Michelle is still alive. He nurses her back to health. Lantenac’s ruthless methods have turned the revolt into a major threat to the Republic. In Paris, Danton, Robespierre and Marat argue about the threat, while also sniping at each other. They promulgate a decree that all rebels and anyone who helps them will be executed. Cimourdain, a committed revolutionary and former priest, is deputed to carry out their orders in Brittany. He is also told to keep an eye on Gauvain, the commander of the Republican troops there, who is related to Lantenac and thought to be too lenient to rebels. Unknown to the revolutionary leaders, Cimourdain was Gauvain’s childhood tutor, and thinks of him as a son. Lantenac has taken control of Dol-de-Bretagne, in order to secure a landing place for British troops to be sent to support the Royalists. Gauvain launches a surprise attack and uses deception to dislodge and disperse them. Forced to retreat, Lantenac is constantly kept from the coast by Gauvain. With British troops unavailable his supporters melt away. Eventually he and a last few fanatical followers are trapped in his castle. Meanwhile Michelle has recovered and goes in search of her children. She wanders aimlessly, but eventually hears that they are being held hostage in Lantenac’s castle. At the castle Sergeant Radoub, fighting with the besiegers, spots the children. He persuades Gauvain to let him lead an assault. He manages to break through the defences and kill several rebels, but Lantenac and a few survivors escape through a secret passage after setting fire to the building. As the fire takes hold, Michelle arrives, and sees that her children are trapped. Her hysterical cries of despair are heard by Lantenac. Struck with guilt, he returns through the passage to the castle and rescues the children, helped by Radoub. He then gives himself up. Gauvain knows that Cimourdain will guillotine Lantenac after a show trial. He visits him in prison, where Lantenac expresses his uncompromising conservative vision of society ordered by hierarchy, deference and duty. Gauvain insists that humane values transcend tradition. To prove it, he allows Lantenac to escape and then gives himself up to the tribunal that was convened to try him. Gauvain's forgiveness after Lantenac's courageous act contrasts with Lantenac's executing the sailor at the beginning of the novel. Gauvain is then tried for treason. The tribunal comprises Cimourdain, Radoub and Gauvain’s deputy, Guéchamp. Radoub votes to acquit, but the others vote to condemn Gauvain to be executed, with Cimourdain casting the deciding vote. Visited by Cimourdain in prison, Gauvain outlines his own vision of a future society with minimal government, no taxes, technological progress and sexual equality. The following morning he is executed by guillotine. At the same moment, Cimourdain shoots himself.	"[""most of his followers gave up after British troops didn't join them"", 'They had no back up.']"	How come people stopped supporting Lantenac?
"On July 2, 1937, Amelia Earhart (Hilary Swank) and her navigator, Fred Noonan (Christopher Eccleston), are on the last leg of an around-the-world flight. Moving in vignettes from her early years when Earhart was captivated by the sight of an aircraft flying overhead on the Kansas prairie where she grew up, her life over the preceding decade gradually unfolds. As a young woman, she is recruited by publishing tycoon and eventual husband, George Putnam (Richard Gere) to become the first woman to cross the Atlantic Ocean, albeit as a passenger. Taking command of the flight results in a success and she is thrust into the limelight as the most famous woman pilot of her time. Putnam helps Earhart write a book chronicling the flight, much like his earlier triumph with Charles Lindbergh's We. Earhart gradually falls in love with Putnam and they eventually marry, although she enacts a ""cruel"" pledge as her wedding contract. Embarrassed that her fame was not earned, Earhart commences to set myriad aviation records, and in 1932, recreates her earlier transatlantic flight, becoming the first female pilot to fly solo across the Atlantic. Throughout a decade of notoriety, Earhart falls into an awkward love affair with pilot and future Federal Aviation administrator Gene Vidal (Ewan McGregor). In a display of romantic jealousy, Putnam quietly tells Amelia that he does not want Vidal in his house. Earhart is annoyed by the seemingly endless agenda of celebrity appearances and endorsements but Putnam reminds his wife that it funds her flying. Earhart returns to her husband on the eve of her last momentous flight. Earhart's last flight was her biggest and most dangerous adventure to date. Her plan was to fly around the world. Earhart's first attempt ends in a runway crash in Hawaii, due to a collapsed landing gear, and her aircraft requires extensive repairs before the flight can be attempted again. Eventually, she takes the repaired Lockheed Model 10 Electra, sponsored by Purdue University, in a reverse direction, leaving the lengthy trans-Pacific crossing at the end of her flight. Setting out to refuel at tiny Howland Island, radio transmissions between USCGC Itasca, a Coast Guard picket ship, and Earhart's aircraft reveal a rising crisis. Earhart radios to Itasca that the sky has become cloudy and overcast. When Itasca attempts to radio her back, however, all Earhart gets is static. For the rest of the approach, Earhart cannot hear Itasca's transmissions, although they can hear hers. The Coast Guard radio operators realize that they do not have sufficient length to provide a ""fix"". Itasca has a directional finder with a dead battery, and weak radio communications prevent Earhart and USCG Itasca from making contact. Running low on fuel, Earhart and Noonan continue to fly on over empty ocean, as Earhart informs the Itasca that she is on position line 157-337, running north and south. She is not heard from again. A massive search effort is unsuccessful, but solidifies Earhart as an aviation icon."	['To write a book', 'Writing a book chronicling her flight.']	What does George Putnam help Earhart with?
"Following release from prison, Daniel ""Danny"" Ocean (George Clooney) violates his parole by traveling to California to meet his partner-in-crime and friend Rusty Ryan (Brad Pitt) to propose a caper. The two go to Las Vegas to pitch the plan to wealthy friend and former casino owner Reuben Tishkoff (Elliott Gould). The plan consists of simultaneously robbing the Bellagio, The Mirage, and the MGM Grand casinos. Reuben's familiarity with casino security makes him very reluctant to get involved, but when he starts to think of it as a good way to get back at his rival, Terry Benedict (Andy Garcia), who owns all three casinos, Reuben agrees to finance the operation. Because the casinos are required by the Nevada Gaming Commission to have enough cash on hand to cover all their patrons' bets, the three predict that, on the upcoming night of a highly anticipated boxing match, the Bellagio vault will contain more than $150,000,000. Danny and Rusty recruit eight former colleagues and criminal specialists: Linus Caldwell (Matt Damon), a young and talented pickpocket; Frank Catton (Bernie Mac), a casino worker and con man; Virgil (Casey Affleck) and Turk Malloy (Scott Caan), a pair of gifted mechanics; Livingston Dell (Eddie Jemison), an electronics and surveillance expert; Basher Tarr (Don Cheadle), an explosives expert; Saul Bloom (Carl Reiner), an elderly con man; and ""The Amazing"" Yen (Shaobo Qin), an accomplished acrobat. Several of the team members carry out reconnaissance at the Bellagio to learn as much as possible about the security, the routines and behaviors of the casino staff, and the building itself. Others create a precise replica of the vault with which to practice maneuvering through its formidable security systems. During this planning phase, the team discovers that Danny's ex-wife, Tess (Julia Roberts), is Benedict's girlfriend. Rusty urges Danny to give up on the plan, believing Danny incapable of sound judgment while Tess is involved, but Danny refuses. When the plan is put in motion, Danny goes to the Bellagio in order to be seen by Benedict, who, as expected, has him locked in a storeroom to be beaten by a bouncer called Bruiser. Bruiser, however, is a friend of Danny's, and he allows him to leave through a ventilation shaft, to meet with his team in the vault. Linus poses as a gaming commission agent and reveals to Benedict that one of his employees, Ramon Escalante, is actually Frank Catton, an ex-con. Linus and Frank stage a faux confrontation in Benedict's presence so that Linus can steal the vault access codes written on a piece of paper in Benedict's jacket. Yen is smuggled into the vault by the Malloy brothers to assist in triggering the explosive from the inside. Saul sneaks explosives into the casino vault by posing as a wealthy international arms dealer who needs especially secure safekeeping for his valuables and then pretends to have a heart attack that draws the security men's attention away from the vault monitors, and is subsequently treated by Rusty posing as a doctor. Basher activates a stolen EMP device to temporarily disrupt the casino's electrical power, allowing Linus and Danny to drop down the elevator shaft undetected. As Benedict attempts to restore order following the power outage, Rusty anonymously calls him on a cell phone that Danny had earlier planted in Tess's coat. Rusty tells him that the vaults are being raided and that all the money will be destroyed if Benedict does not cooperate in loading half the money into a van waiting outside. Benedict observes video footage of the vault that confirms Rusty's claims and complies in moving the money but orders his men to follow the van after it departs and calls a SWAT team to secure the vault and the other half of the money. The SWAT team's arrival results in a shootout which causes the incineration of the half of the money left in the vault. After assuring Benedict that the casino is secure, the officers depart at Benedict's insistence. Benedict's men following the van, discover it is being driven by remote control, and that, instead of money, it contains duffel bags full of flyers advertising prostitutes. Benedict realizes that the vault video feed he had been watching was pre-recorded, as the vault floor in the footage lacked the Bellagio logo, which had only recently been installed. A flashback reveals that Danny had used the vault replica to create the fake video Benedict had seen. The rest of the team posed as S.W.A.T. officers and took all of the money in the vault when responding to Benedict's call for police assistance. Benedict then returns to the room where he left Danny and finds him still there, apparently still being worked over by Bruiser, leaving him with no way to connect Danny to the theft. As Tess watches via security surveillance, Danny tricks Benedict into saying he would give up Tess in exchange for the money. Danny then says, ""All right. I know a guy. We were in the joint together. Anybody pulls a job in the western US, he knows about it. Give me 72 hours. I'll find out who took your money"". Benedict, humiliated, orders his men to escort Danny off the premises and inform the police that Danny is violating his parole by being in Las Vegas. Tess leaves Benedict and exits the hotel just in time to see Danny arrested. The rest of the team bask in the victory, silently going their separate ways one-by-one. When Danny is released after serving ""three to six months"" for his parole violation, he is met by Rusty and Tess, and the three drive off, closely followed by Benedict's bodyguards."	['Bruiser']	"What is the name of the person that ""beats"" Danny up?"
"The eponymous heroine, Isabel Thorne, is a young woman, half British, half Italian, who works for the Italian Secret Service. She has been commissioned to bring about the signing of a secret contract, in the capital of the enemy, by representatives of all countries involved, both European and American. Her brother, an inventor, has devised a secret weapon by which missiles can be fired from submarines (see also depth charge) which will, it is hoped, secure military domination over the rest of the world. Members of the U.S. Secret Service, who have been alerted, are assigned to prevent the signing of this ""Latin compact"" and bring to justice those involved who have no diplomatic immunity. One young representative named Grimm, however, although absolutely loyal to his government, falls in love with the beautiful foreign agent, Thorne. In the end Thorne, who reciprocates her admirer's love, becomes estranged from her employer, the Italian government, because she does not want Grimm, who has been captured by the conspirators and knows all their secrets, to be murdered. Stripped of all her power and possessions, she unites with him at the end of the novel, no longer elusive. A trivial novel in its time, Elusive Isabel is now in the public domain."	['the US Secret Service', 'U.S. Secret Service']	Which organization did Grimm work for, according to the story?
Socialite Claire Gregory (Mimi Rogers) attends a party and art show sponsored by one of her oldest friends, Winn Hockings (Mark Moses). Accompanying her is her straitlaced boyfriend, Neil Steinhart (John Rubinstein). In another part of town, there is another party, this one for newly appointed NYPD detective Mike Keegan (Tom Berenger). Winn is accosted by a former partner, Joey Venza (Andreas Katsulas), who is angry because Winn had not come to him to borrow money for his new art studio. After a short argument, he stabs Winn to death. Claire witnesses the killing as she steps out of the elevator; she screams and is spotted by Venza. He pursues her, but she manages to get back into the elevator just in time. The police are called in and the new detective Keegan is there. He is a married man, but immediately falls for Claire. Along with fellow cops, he is assigned to protect Claire until she can make a positive ID of Venza (once he is arrested) and testify in court. Keegan is determined to protect Claire and goes to extremes to do so. Venza makes numerous threats and attempts on her life, nearly succeeding at one point. Keegan and his wife Ellie (Lorraine Bracco) separate over his involvement in the case. He and Claire acknowledge their love but Keegan cannot bring himself to simply abandon his family. At the end, Venza, who draws out Keegan by taking his son hostage, is shot by Ellie and killed. Claire breaks up with her staid boyfriend and intends to go to Europe to get over Keegan, who returns to his wife and son.	['CLAIRE', 'Clair had just gotten off the elevator when it happens.']	Who witnesses Venza stab and kill Winn?
The legendary king VikramÄditya (Vikrama) promises a vamachari (a tantric sorcerer) that he will capture a vetala (or Baital), a celestial spirit Pishacha, celestial spirit analogous to a vampire in Western literature who hangs from a tree and inhabits and animates dead bodies. King Vikrama faces many difficulties in bringing the vetala to the tantric. Each time Vikram tries to capture the vetala, it tells a story that ends with a riddle. If Vikrama cannot answer the question correctly, the vampire consents to remain in captivity. If the king knows the answer but still keeps quiet, then his head shall burst into thousand pieces. And if King Vikrama answers the question correctly, the vampire would escape and return to his tree. He knows the answer to every question; therefore the cycle of catching and releasing the vampire continues twenty-four times. On the twenty-fifth attempt, the Vetala tells the story of a father and a son in the aftermath of a devastating war. They find the queen and the princess alive in the chaos, and decide to take them home. In due time, the son marries the queen and the father marries the princess. Eventually, the son and the queen have a son, and the father and the princess have a daughter. The vetala asks what the relation between the two newborn children is. The question stumps Vikrama. Satisfied, the vetala allows himself to be taken to the tantric. On their way to the tantric, Vetala tells his story. His parents did not have a son and a tantric blessed them with twin sons on a condition that both be educated under him. Vetala was taught everything in the world but often ill treated. Whereas his brother was taught just what was needed but always well treated. Vetala came to know that the tantric planned to give his brother back to his parents and Vetala instead would be sacrificed as he was an 'all- knowing kumara' and by sacrificing him the tantric could be immortal and rule the world using his tantric powers. Vetal also reveals that now the tantric's plan is to sacrifice Vikram, beheading him as he bowed in front of the goddess. Then tantric could then gain control over the vetala and sacrifice his soul, thus achieving his evil ambition. The vetala suggests that the king asks the tantric how to perform his obeisance, then take advantage of that moment to behead the sorcerer himself. VikramÄditya does exactly as told by vetala and he is blessed by Lord Indra and Devi Kali. The vetala offers the king a boon, whereupon Vikram requests that the tantric's heart and mind be cleaned of all sins and his life be restored as a good living being and that the vetala would come to the king's aid when needed.	['So that he could later sacrifice him and gain immortality', 'he needed to make him all-knowing so that he could sacrifice him']	Why did the tantric demand to be able to educate the vetala?
The film depicts the story of Oscar Grant III, a 22-year-old from Hayward, California, and his experiences on the last day of his life, before he was fatally shot by BART Police in the early morning hours of New Year's Day 2009. The movie begins with the actual footage of Oscar Grant and his friends being detained by the BART Police at the Fruitvale BART station on January 1, 2009 in Oakland California at 2:15 am before the killing. The film shows scenes of him and his girlfriend Sophina arguing about Grant's recent infidelity. It later shows Grant unsuccessfully attempting to get his job back at the grocery store. He briefly considers selling some marijuana but in the end decides to dump the stash. Grant later attends a birthday party for his mother and tells her afterward that he will take BART to see fireworks and other New Year's festivities in San Francisco. On the return train, Katie, a customer at the grocery store where Grant used to work, recognizes Grant and calls out his name. A former inmate, from when Grant was in prison (shown in an earlier flashback), then recognizes Grant and attempts to assault him, starting a disturbance that leads the BART Police to intervene. Amid the chaos, Grant's girlfriend calls and asks where he is; he assures her he is fine. In the end, after Grant is restrained on the station platform, a BART Police officer shoots him in the back. Grant is rushed to a hospital but later dies. In the post-credits scene, title cards show that Grant's death sparked a series of protests and riots across the city and that the incident was recorded by several witnesses, either by cell phone or video camera. The BART Police officers who were involved were fired and the one who shot Grant was later tried and found guilty of involuntary manslaughter, claiming he mistook his gun for his Taser, and served an 11-month sentence. There is also footage of a gathering of people celebrating Grant's life on New Year's Day 2013 with the real-life, much older Tatiana (Grant's daughter) standing among them.	['Oakland']	What city was Oscar Grant III shot in?
"Greenleaf begins his book by arguing for the need to suspend prejudices and to be open to conviction, ""to follow the truth wherever it may lead us"" (p. 1). He cites Bishop Daniel Wilson's Evidences by stating that Christianity does not ""bring irresistible evidence"" but offers sufficient evidences for ""the serious inquirer"" (p. 2). He limits the scope of his book to an inquiry ""to the testimony of the Four Evangelists, bringing their narratives to the tests to which other evidence is subjected in human tribunals"" (p. 2). His specific inquiry is concerned with testing ""the veracity of these witnesses by the same rules and means"" employed in human tribunals (p. 3). Greenleaf argues the case by first inquiring as to the genuineness of the four gospels as ancient writings. Here he applies what is known in law as the ancient documents rule, stating that ""Every document, apparently ancient, coming from the proper repository or custody, and bearing on its face no evident marks of forgery, the law presumes to be genuine, and devolves on the opposing party the burden of proving it to be otherwise"" (p. 7). Greenleaf maintains that the Four Gospels do not bear any marks of being forgeries and the oldest extant copies may be received into court as genuine documents. Greenleaf proceeds to argue that ""In matters of public and general interest, all persons must be presumed to be conversant, on the principle that individuals are presumed to be conversant with their own affairs"" (p. 9). On the basis of this legal rule, Greenleaf briefly profiles those traditionally attributed as authors of the Four Gospels, Matthew, Mark, Luke and John, concerning (in the case of John and Matthew) their firsthand knowledge of the life of Jesus of Nazareth and (in the case of Mark and Luke) their intimate personal links with Jesus' original band of disciples. Greenleaf then builds a cumulative case by claiming to cross-examine the oral testimony of the evangelists in their accounts of the death and resurrection of Jesus. Greenleaf develops his case on the basis of the following tests: ""The credit due to the testimony of witnesses depends upon, firstly, their honesty; secondly, their ability; thirdly, their number and the consistency of their testimony; fourthly, the conformity of their testimony with experience; and fifthly, the coincidence of their testimony with collateral circumstances"" (p. 28). Greenleaf then argues that the gospel writers can be shown to be honest in their character and do not show any motives to falsify their testimony (pp. 28–31). He claims that keen observations and meticulous details are related by Matthew and Luke, and he concludes this demonstrates their ability (pp. 31–32). Greenleaf notes that there are parallel accounts from the evangelists concerning the central events of Jesus' life and that these accounts are not verbally identical. He maintains that discrepancies in their accounts are evidence that the writers are not guilty of collusion, and that the discrepancies in their respective accounts can be resolved or harmonized upon careful cross-examination and comparison of the details (pp 32–35). Greenleaf argues against the scepticism of the Scottish empirical philosopher David Hume concerning reports of miracles. He finds fault with Hume's position about ""immutable laws from the uniform course of human experience"" (p. 36), and goes on to assert that it is a fallacy because ""it excludes all knowledge derived by inference or deduction from facts, confining us to what we derive from experience alone"" (pp. 37–38). Greenleaf takes as his own assumption that as God exists then such a being is capable of performing miracles. He then argues that the various miracles reported in Jesus' ministry occurred in open or public contexts where friend and foe alike were witnesses (pp 39–42). Lastly, Greenleaf examines the problem of uniform testimony among false and genuine witnesses, and finds there is sufficient circumstantial evidence to support the accounts of the Four Evangelists. Greenleaf sums up his argument with the following plea: ""All that Christianity asks of men on this subject, is, that they would be consistent with themselves; that they would treat its evidences as they treat the evidence of other things; and that they would try and judge its actors and witnesses, as they deal with their fellow men, when testifying to human affairs and actions, in human tribunals. Let the witnesses be compared with themselves, with each other, and with the surrounding facts and circumstances; and let their testimony be sifted, as if it were given in a court of justice, on the side of the adverse party, the witnesses being subjected to a rigorous cross-examination. The result, it is confidently believed, will be an undoubting conviction of their integrity, ability and truth ... Either the men of Galilee were men of superlative wisdom, and extensive knowledge and experience, and of deeper skill in the arts of deception, than any and all others, before or after them, or they have truly stated the astonishing things which they saw and heard"" (pp. 46 & 53)."	['In the public.', 'In public']	Where did Jesus' miracles occurr, according to Greenleaf?
