article	answer
Question: Who continued to live with Helen after the Trojan war? Context: Hecuba: Alas! Alas! Alas! Ilion is ablaze; the fire consumes the citadel, the roofs of our city, the tops of the walls! Chorus: Like smoke blown to heaven on the wings of the wind, our country, our conquered country, perishes. Its palaces are overrun by the fierce flames and the murderous spear. Hecuba: O land that reared my children! Euripides's play follows the fates of the women of Troy after their city has been sacked, their husbands killed, and as their remaining families are about to be taken away as slaves. However, it begins first with the gods Athena and Poseidon discussing ways to punish the Greek armies because they condoned that Ajax the Lesser raped Cassandra, the eldest daughter of King Priam and Queen Hecuba, after dragging her from a statue of Athena. What follows shows how much the Trojan women have suffered as their grief is compounded when the Greeks dole out additional deaths and divide their shares of women. The Greek herald Talthybius arrives to tell the dethroned queen Hecuba what will befall her and her children. Hecuba will be taken away with the Greek general Odysseus, and Cassandra is destined to become the conquering general Agamemnon's concubine. Cassandra, who can see the future, is morbidly delighted by this news: she sees that when they arrive in Argos, her new master's embittered wife Clytemnestra will kill both her and her new master. However, Cassandra is also cursed so that her visions of the future are never believed, and she is carried off. The widowed princess Andromache arrives and Hecuba learns from her that her youngest daughter, Polyxena, has been killed as a sacrifice at the tomb of the Greek warrior Achilles. Andromache's lot is to be the concubine of Achilles' son Neoptolemus, and more horrible news for the royal family is yet to come: Talthybius reluctantly informs her that her baby son, Astyanax, has been condemned to die. The Greek leaders are afraid that the boy will grow up to avenge his father Hector, and rather than take this chance, they plan to throw him off from the battlements of Troy to his death. Helen, though not one of the Trojan women, is supposed to suffer greatly as well: Menelaus arrives to take her back to Greece with him where a death sentence awaits her. Helen begs and tries to seduce her husband into sparing her life. Menelaus remains resolved to kill her, but the audience watching the play knows that he will let her live and take her back. At the end of the play it is revealed that she is still alive; moreover, the audience knows from Telemachus' visit of Sparta in Homer's Odyssey that Menelaus continued to live with Helen as his wife after the Trojan War. In the end, Talthybius returns, carrying with him the body of little Astyanax on Hector's shield. Andromache's wish had been to bury her child herself, performing the proper rituals according to Trojan ways, but her ship had already departed. Talthybius gives the corpse to Hecuba, who prepares the body of her grandson for burial before they are finally taken off with Odysseus. Throughout the play, many of the Trojan women lament the loss of the land that reared them. Hecuba in particular lets it be known that Troy had been her home for her entire life, only to see herself as an old grandmother watching the burning of Troy, the death of her husband, her children, and her grandchildren before she will be taken as a slave to Odysseus. </s>	Memelous[<@>]Menelaus </s>
"Question: What does Sir Percy Blakemney tell Derueled he should do? Context: The story starts in 1784, before the French revolution. Wealthy Paul Déroulède has offended the young Vicomte de Marny by speaking disrespectfully of his latest infatuation, Adèle de Monterchéri. Déroulède had not intended to get into the quarrel but has a tendency to blunder into things -- ""no doubt a part of the inheritance bequeathed to him by his bourgeois ancestry."" Incensed at the slur on Adèle, whom he sees as a paragon of virtue, the Vicomte challenges Déroulède to a duel, a fight which Déroulède does not want - for he knows and respects the boy's father, the Duc de Marny. Swords drawn, the fight ensues in the centre of the salon but despite his noble lineage, the Vicomte de Marny is no match for Déroulède's swordplay, especially when addled with wine and rage. Déroulède disarms his opponent and having won the duel, draws back but the boy refuses to back down without complete satisfaction and demands that Déroulède get down on his knees and apologize. Finally losing his temper with the young Vicomte, Déroulède raises his sword to disarm his protagonist once more, however de Marny lunges wildly at his opponent's breast and manages to literally throw himself on Déroulède's weapon. The boy is dead and Déroulède can do nothing but leave the establishment. On hearing of the death of his only son, the Duc de Marny (by now a cripple and almost a dotard) is distraught. The Duc summons his fourteen-year-old daughter, Juliette, to his side and forces her to swear an oath to ruin Déroulede in revenge for her brother's death, telling her that her brother's soul will remain in torment until the final judgement day should she break her promise. The story picks up ten years later, and Citizen Déroulède, though no longer rich, is a lawyer popular with the people and is allowed to go his own way, for Marat has said of him ""Il n'est pas dangereux"". He leads a quiet life, living alone with his mother and his orphaned cousin Anne Mie in the Rue Ecole de Médecine. At 6 pm on August 19, 1793, Juliette Marny walks into the Rue Ecole de Médecine and stopping just outside the house belonging to Citizen-Deputy Déroulède, suddenly starts to draw attention to herself, invoking the anger of the crowd through her proud aristocratic manner. She hammers on Déroulède's door as the crowd shout and lash out at her, but just before they can drag her away, the door opens and she is pulled inside. Having tricked her way into Déroulede's home Juliette is invited to stay for her own safety. She agrees and eventually reveals her identity, but even after hearing Déroulede's side of the story, she fails to realise that he only wishes to make amends for the death of her brother and continues to plot revenge on her host. Unaware of her intentions, Déroulede tells Juliette that he has accepted the post of Governor of the Conciergerie prison where Queen Marie Antoinette is imprisoned. Later he is visited at home by Sir Percy Blakeney and Juliette overhears Sir Percy warning his friend off a scheme to free the queen, for it is doomed to failure. He advises Déroulede to burn a bundle of papers relating to the plot, which if found would result in him being arrested for treason and sentenced to death. Juliette sees her chance and posts a letter denouncing her host, but realises too late that she has failed to take account of the fact that not only has Paul Déroulede fallen madly in love with her, she has also come to love the man she has vowed to destroy. When soldiers arrive to search Déroulede's home, Juliette hides the letter box, then escapes to her room where she attempts to burn it. She places the burnt remains among her belongings, and when the soldiers discover them, they arrest her. Because the search turned up nothing suspicious against Déroulede he is allowed to remain free. During her trial, Juliette keeps to the story that the burnt letterbox contained love letters. However, Déroulede defends his love and admits that the letters are his own and that he has committed treason. Both of them are sentenced to death. The Scarlet Pimpernel and his comrades manage to rescue the condemned couple on their journey from the courthouse to the prison. </s>"	Burn all the papers relating to his plot[<@>]Burn the papers </s>
"Question: What was Bonnie Parker job before starting to engage in this crime business? Context: In the middle of the Great Depression, Clyde Barrow (Warren Beatty) and Bonnie Parker (Faye Dunaway) meet when Clyde tries to steal Bonnie's mother's car. Bonnie, who is bored by her job as a waitress, is intrigued by Clyde, and decides to take up with him and become his partner in crime. They pull off some holdups, but their amateur efforts, while exciting, are not very lucrative. The duo's crime spree shifts into high gear once they hook up with a dim-witted gas station attendant, C.W. Moss (Michael J. Pollard), then with Clyde's older brother Buck (Gene Hackman) and his wife, Blanche (Estelle Parsons), a preacher's daughter. The women dislike each other on first sight, and their feud only escalates from there: shrill Blanche has nothing but disdain for Bonnie, Clyde and C.W., while gun-moll Bonnie sees Blanche's flighty presence as a constant danger to the gang's well-being. Bonnie and Clyde turn from pulling small-time heists to robbing banks. Their exploits also become more violent. When C.W. botches a bank robbery by parallel parking the getaway car, Clyde shoots the bank manager in the face after he jumps onto the slow-moving car's running board. The gang is pursued by law enforcement, including Texas Ranger Frank Hamer (Denver Pyle), who is captured and humiliated by the outlaws, then set free. A raid later catches the outlaws off guard, mortally wounding Buck with a gruesome shot to his head and injuring Blanche. Bonnie, Clyde and C.W. barely escape with their lives. With Blanche sightless and in police custody, Hamer tricks her into revealing C.W.'s name, who was up until now still only an ""unidentified suspect."" Hamer locates Bonnie, Clyde and C.W. hiding at the house of C.W.'s father Ivan Moss (Dub Taylor), who thinks the coupleâand an ornate tattooâhave corrupted his son. The elder Moss strikes a bargain with Hamer: In exchange for leniency for the boy, he helps set a trap for the outlaws. When Bonnie and Clyde stop on the side of the road to help Mr. Moss fix a flat tire, the police in the bushes open fire and riddle them with bullets. Hamer and his posse then come out of hiding, looking pensively at the couple's bodies. </s>"	Waitress[<@>]A waitress. </s>
"Question: When did the Titan strike an iceberg? Context: The first half of Futility introduces the hero John Rowland. Rowland is a disgraced former US Navy officer. Now an alcoholic fallen to the lowest levels of society, he's been dismissed from the Navy and works as a deckhand on the Titan. One April night the ship hits an iceberg, sinking somewhat before the halfway point of the novel. The second half follows Rowland. He saves the young daughter of a former lover by jumping onto the iceberg with her. The pair find a lifeboat washed up on the iceberg, and are eventually rescued by a passing ship. But the girl is recovered by her mother and Rowland is arrested for her kidnapping. A sympathetic magistrate discharges him and rebukes the mother for unsympathy to her daughter's savior. Rowland disappears from the world. In a brief final chapter covering several years, Rowland works his way up from homeless and anonymous fisherman to a desk job and finally, two years after passing his civil service exam, to ""a lucrative position under the Government, and as he seated himself at the desk in his office, could have been heared to remark: 'Now John Rowland, your future is your own. You have merely suffered in the past from a mistaken estimate of the importance of women and whisky.' THE END"" (1898 edition at Google Books). A later edition includes a coda. Rowland receives a letter from the mother, who congratulates him and pleads for him to visit her, and the girl who begs for him. (External links: undated edition at titanic-titanic.com) </s>"	One April night[<@>]One april night </s>
"Question: Why would LeMarc want to humiliate Toulour and what would be his motivation? Context: Terry Benedict (Andy García) locates all eleven members of Danny Ocean's (George Clooney) gang, demanding they return the $160 million they stole from his casinos plus $38 million interest. Short by half, the group schemes to stage another heist in Europe to avoid problems with United States authorities. They are tipped off by an informant named Matsui (Robbie Coltrane) about the location of the first stock certificate ever. After a complex series of schemes they find the document has already been stolen by ""The Night Fox"", another master thief. Europol Detective Isabel Lahiri (Catherine Zeta-Jones) is called in to investigate the theft and realizes that her talking earlier about a particular burglary with Rusty (Brad Pitt) during their relationship, would have given Rusty the idea of how to solve the complication the gang would have come up against. Surprising the group at their accommodation, she warns them they cannot beat the Night Fox or his mentor, the mysterious master-thief ""LeMarc"", both of whom excel in practicing the ""long-con"". She has been hunting both for years. Danny and his gang discover the Night Fox is Baron François Toulour (Vincent Cassel), a wealthy businessman who has a mansion on Lake Como. Toulour invites Danny to his mansion and reveals that he had hired Matsui to inform the gang about the certificate in order to arrange the meeting with Danny. Toulour is upset that LeMarc did not describe him as the best thief in the world, and challenges Danny to steal the Fabergé Imperial Coronation Egg. If Danny and his gang win, Toulour will pay off the debt to Benedict. Danny and his gang begin to plan an elaborate heist to swap the egg for a holographic recreation, but the engineer hired by the group accidentally tips off Lahiri to their presence, and she captures most of the gang on their first attempt. Linus (Matt Damon) comes up with a second plan involving Danny's wife Tess (Julia Roberts) posing as a pregnant Julia Roberts in order to get close to the Egg and swap it. They are foiled by Lahiri, and the rest of the group are captured. Lahiri is told that they are to be extradited to the United States. Linus is chosen first to be interrogated by the FBI agent (Cherry Jones) assigned to collect them. It turns out that she is his mother, who organises the release of the whole gang. She points out to Lahiri that she will face only retribution for her forging a signature on a Europol form to obtain the necessary arrest warrants for Ocean's gang. Some time later, Danny and Tess return to Toulour's estate where he reveals his glee at their failure. Toulour claims to have stolen the egg at night using his agility and Capoeira skills to evade the heavy security. Toulour's celebration is short-lived when Danny reveals that his group stole the egg while it was in transit to the museum and Toulour realizes they were tipped off by LeMarc. A flashback reveals that Danny and Rusty had met LeMarc earlier when he revealed his confidence trick intended to humiliate Toulour, and at the same time, to restore to himself the Fabergé egg that he had stolen years ago and had returned following his wife's wishes. Toulour is forced to admit Danny won the bet and gives him the money for the debt. They pay back Benedict and promise not to perform any more heists in his casinos—even as Toulour himself is in the background spying on Benedict. Rusty takes Lahiri to a safe house that he claims has been lent to him by LeMarc. She is reunited with her father, who is revealed to be the man she has been pursuing for years: LeMarc (Albert Finney). The final scenes of the film, in which the primary characters enjoy a private poker session, imply that she and Rusty have re-kindled their relationship. </s>"	They're all a bunch of sociopaths.[<@>]Possibly to prove to Toulour that he is the best thief, and to get the Faberge egg back </s>
"Question: How many children do John and Grace have? Context: In 1757, Moonfleet is a small village near the sea in the south of England. It gets its name from a formerly prominent local family, the Mohunes, whose coat of arms includes a symbol shaped like a capital 'Y'. John Trenchard is an orphan who lives with his aunt, Miss Arnold. Other notable residents are the sexton Mr Ratsey, who is friendly to John; Parson Glennie, the local clergyman who also teaches in the village school; Elzevir Block, the landlord of the local inn, called the Mohune Arms but nicknamed the Why Not? because of its sign with the Mohune 'Y'; and Mr Maskew, the unpopular local magistrate and his beautiful daughter, Grace. Village legend tells of the notorious Colonel John ""Blackbeard"" Mohune who is buried in the family crypt under the church. He is reputed to have stolen a diamond from King Charles I and hidden it. His ghost is said to wander at night looking for it and the mysterious lights in the churchyard are attributed to his activities. As the main part of the story opens, Block's youthful son, David, has just been killed by Maskew during an attack by the authorities on a smuggling boat. One night a bad storm hits the village and there is a flood. While attending the Sunday service at church, John hears strange sounds from the crypt below. He thinks it is the sound of the coffins of the Mohune family. The next day, he finds Elzevir and Ratsey against the south wall of the church. They claim to be checking for damage from the storm, but John suspects they are searching for Blackbeard's ghost. Later John finds a large sinkhole has opened in the ground by a grave. He follows the passage and finds himself in the crypt with coffins on shelves and casks on the floor. He realises his friends are smugglers and this is their hiding place. He has to hide behind a coffin when he hears Ratsey and Elzevir coming. When they leave, they fill in the hole, inadvertently trapping him. John finds a locket in a coffin which holds a piece of paper with verses from the Bible. John eventually passes out after drinking too much of the wine while trying to quench his thirst, having not eaten or drunk for days. Later he wakes up in the Why Not? inn - he has been rescued by Elzevir and Ratsey. When he is better, he returns to his aunt's house, but she, suspecting him of drunken behaviour, throws him out. Fortunately, Elzevir takes him in. But when Block's lease on the Why Not? comes up for renewal, Maskew bids against him in the auction and wins. Block must leave the inn and Moonfleet but plans one last smuggling venture. John feels honour-bound to go with him, and sadly, says goodbye to Grace Maskew, whom he loves and has been seeing in secret, and gets his mother's prayer book as a good luck charm. The excisemen and Maskew are aware of the planned smuggling run but do not know exactly where it will occur. During the landing Maskew appears and is caught by the smugglers. Elzevir is bent on vengeance for his son by killing Maskew, and while the rest land the cargo and leave, he and John keep watch over Maskew. Just as Block prepares to shoot Maskew the excisemen attack. They wound John and unintentionally kill Maskew. Block carries John away to safety and they hide in some old quarries. While there, John inadvertently finds out that the verses from Blackbeard's locket contain a code which will reveal the location of his famous diamond. Once John's wound heals, he and Block decide to recover the diamond from Carisbrooke Castle. After a suspenseful scene in the well where the jewel is hidden, they succeed in escaping to Holland where they try to sell it to a Jewish diamond merchant named Crispin Aldobrand. The merchant cheats them, claiming the diamond is fake. Elzevir falls for the deceit and angrily throws the diamond out of the window. John, however, knows they have been duped, and suggests they try to recover the diamond through burglary. The attempt fails and, they are arrested and sentenced to prison. John curses the merchant for his lies. John and Elzevir go to prison for life. Eventually they are separated. Then, unexpectedly, ten years later, their paths cross again. They are being transported, and board a ship. A storm blows up, and by a strong coincidence, the ship is wrecked upon Moonfleet beach. While trying to reach the beach Elzevir helps John to safety, but is himself dragged under by the tide and drowned. John arrives where he originally started, in the Why Not?, and is reunited with Ratsey. He is also reunited with Grace. She is now a rich young lady, having inherited her father's money. However, she is still in love with John, and they decide to marry. John tells her about the diamond and his life in prison. He regrets having lost everything, but then Parson Glennie receives a letter from Aldobrand. The merchant suffered a guilty conscience, and in an attempt to make amends, has bequeathed the worth of the diamond to John. John gives the money to the village, and new almshouses are built, and the school and the church renovated. John marries Grace and becomes Lord of the Manor and Justice of the Peace. Their three children grow up and their sons leave home, including their first-born son, Elzevir. But John and Grace themselves have no plans to leave their beloved Moonfleet ever again. </s>"	3[<@>]Three. </s>
Question: Who killed Amethus? Context: During the 1st century AD, a force of the Parthian Empire destroys a vexillation of a Roman auxiliary cohort sent to construct a fort on the banks of the Euphrates in the Kingdom of Palmyra. The garrison is slaughtered. Meanwhile, with tensions rising between Rome and Parthia, the Legio X Fretensis, Legio III Gallica and the Legio VI Ferrata are drilling for war in Syria. Prefect Macro and Centurion Cato are drilling the Second Illyrian, an auxiliary cohort, attached to the Legio X Fretensis for the looming war. Cato and Macro were sent to Syria by Narcissus to gather proof that the governor of Syria, Longinus was planning to use the Syrian legions to usurp the Emperor Claudius. During their time in Antioch, Crisups, a Roman legionary, murders an auxiliary leading to Crispus' execution, much to the chagrin of the legionaries. A Parthian convoy arrives, delivering the head of Centurion Castor, the soldier who commanded the Euphrates fort, and warns of Parthian intervention, should Rome continue to be seen to be annexing Palmyra. Shortly thereafter, a Roman soldier arrives at the behest of Lucius Sempronius, a Roman ambassador to Palmyra, informing Longinus that Palmyra has descended into civil war. Artaxes, the son of Palmyran king Vabathus, has raised an army and laid siege to the Palmyran loyalists in the Royal Citadel. Fearing the Parthians will arrive before the Romans can, Longinus sends the Second Illyrian and a cohort of the Legio X Fretensis to reinforce the loyalists. Along the way, the Roman force is aided by Prince Balthus, who covets the Palmyran throne, despite not being Vabathus' first born. The Romans and Balthus' men fight their way through to the city and manage to reinforce the loyalist troops, mainly composed of Greek mercenaries. Following a banquet to celebrate the successful defence of a rebel assault, Amethus, one of Vabathus' sons is found murdered, with Balthus being the prime suspect. Meanwhile, Cato meets Sempronius' daughter, Julia, and the two fall in love after an uneasy start. After a rebel bombardment, the loyalist food stores are all but destroyed. Cato attempts to bluff Artaxes into standing down, however before Artaxes can respond, Longinus arrives with two legions and several auxiliary units. Longinus privately reveals to Cato and Macro that they were never meant to reach Palmyra, and were meant to die in the desert, removing Narcissus' spies that had frustrated his plans. Against the advice of Cato, Longinus leads the legions into the desert, determined to destroy Artaxes and his Parthian allies. During a night attack, Longinus panics, orders a retreat and leaves the army at the mercy of the Parthian horsemen. On the suggestions of Cato, the army manages to trap the Parthians, destroying their army. Balthus orders his brother, Artaxes, killed, leaving him the sole heir to Vabathus' throne. Back in Palmyra, it is revealed Balthus had ordered his slave, Carpex, to murder Amethus. Balthus is arrested to be put to death. With no heir, Sempronius reveals that the empire will annex Palmyra and absorb it into the province of Syria. Macro and Cato are released from Narcissus' employment, ending their posting in the East. Sempronius later gives Cato his consent to marry his daughter, Julia. </s>	Balthus[<@>]Carpex </s>
Question: What was Robert about to do when George saw him in his vision? Context: Many of the events of the novel are narrated twice; first by the 'editor', who gives his account of the facts as he understands them to be, and then in the words of the 'sinner' himself. The 'Editor's Narrative' starts in 1687 with the marriage of Rabina Orde to the much older George Colwan, Laird of Dalcastle. Rabina despises her new husband because he falls short of her extreme religious beliefs, his love of dancing and penchant for drinking alcohol. She initially flees him but her father forces her back, and they live separately in the one house. Rabina gives birth to two sons. The first, George, is indisputably the son of the Laird, but it is strongly implied – though never confirmed – that her second son, Robert, was fathered by the Reverend Wringhim, Rabina’s spiritual adviser and close confidante. George, raised by the Laird, becomes a popular young man who enjoys sport and the company of his friends. Robert, educated by his mother and adoptive father Wringhim, is brought up to follow Wringhim’s radical antinomian sect of Calvinism, which holds that only certain elect people are predestined to be saved by God. These chosen few will have a heavenly reward regardless of how their lives are lived. The two brothers meet, as young men, in Edinburgh where Robert starts following George through the town, mocking and provoking him and disrupting his life. He appears to have the ability of appearing wherever George is. When on a hill-top, George sees a vision of his brother in the sky and turns to find him behind him, preparing to throw him off a cliff. Robert rejects any friendly or placatory advances from his brother. Finally, George is murdered by being stabbed in the back, apparently during a duel with one of his drinking acquaintances. The only witnesses to the murder were a prostitute and her despicable client, who claim that the culprit was Robert, aided by what appears to be the double of George’s friend. Before Robert can be arrested, he disappears. The second part of the novel consists of Robert's account of his life. It purports to be a document, part-handwritten and part-printed, which was found after his death. It recounts his childhood, under the influence of the Rev Wringhim, and goes on to explain how he becomes in thrall to an enigmatic companion who says his name is Gil-Martin. This stranger, who could be seen to be the Devil, appears after Wringhim has declared Robert to be a member of 'the elect' and so predestined to eternal salvation. Gil-Martin, who is able to transform his appearance at will, soon directs all of Robert’s pre-existing tendencies and beliefs to evil purposes, convincing him that it is his mission to “cut sinners off with the sword”, and that murder can be the correct course of action. From Gil-Martin's boasting of the number of his adherents and size of his dominions, Robert falls into the delusion that he is Peter the Great of Russia, who visited England about that time. The confession traces Robert's gradual decline into despair and madness, as his doubts about the righteousness of his cause are counteracted by Gil-Martin’s increasing domination over his life. Finally, Robert loses control over his own identity and even loses track of time. During these lost weeks and months, it is suggested that Gil-Martin assumes Robert’s appearance in order to commit further crimes. However, there are also suggestions in the text, that 'Gil-Martin' is a figment of Robert's imagination, and is simply an aspect of his own personality: as, for example when 'the sinner' writes, 'I feel as if I were the same person' (as Gil-Martin). Robert flees, but is pursued and tormented by devils and can find refuge only as a shepherd. Finally he hangs himself with a grass rope – in which it is suggested that he is aided by devils. The novel concludes with a return to the 'Editor's Narrative' which explains how the sinner's memoir was discovered in his grave. Hogg appears as himself in this section, expressing scorn of the project to open the grave. </s>	Shove him off of a cliff.[<@>]push him off the cliff </s>
Question: How are the two Gregorys related? Context: Gregory Hilliard Hartley is a young man, brother to the heir of an English estate. When he marries a young lady lower on the social ladder than his father wished, he is expelled from his father's house. He soon travels to Egypt, due to his knowledge of Arabic, and obtains employment with a merchant firm. When the Dervishes attack and destroy his employer's warehouse, he joins the army under Hicks Pasha as an interpreter. The expedition is destroyed, and no news is heard of Gregory. His wife lives in Cairo, uncertain of his fate. Years pass, and she brings up their young son, also named Gregory, and ensures that he is taught several native languages. When she dies, Gregory is left alone in the world, with a small bank account and a mysterious tin box only to be opened when he is certain of his father's death. Gregory obtains a position as interpreter in the expedition under Lord Kitchener which is advancing into the Soudan to attack the Dervish forces. He endures many hardships and dangers in the great campaign, and gains high distinction, while continuing his search for his father. Soon, a discovery leads him to a clue, and the tin box, once opened, reveals a surprising discovery about his true identity. </s>	They are father and son. </s>
"Question: What does Lucas do for his family as his business grows? Context: In 1968, Frank Lucas is the right-hand man of Harlem gangster Ellsworth ""Bumpy"" Johnson. When Johnson dies of a heart attack, Lucas takes control of the Harlem crime scene. After handing in almost $1 million that he found in a mobster's car, Newark detective Richie Roberts is ostracized in his precinct. After his exiled and addicted partner overdoses on a potent brand of heroin called ""Blue Magic"", Captain Lou Toback puts Roberts in charge of a task force that targets local suppliers. Lucas buys Blue Magic directly from producers in Thailand and smuggles it into the U.S. through returning Vietnam War servicemen. His low overhead allows him to eventually wholesale Blue Magic to most the dealers in the New York area. With this monopoly, Lucas expands his control to nightclubs, casinos, and prostitution. He buys a mansion for his mother and recruits his five brothers, including Huey and Turner, as lieutenants to spread his empire. During his rise to becoming Harlem's crime boss, Lucas falls in love with Eva, a Puerto Rican beauty queen. As Lucas' business prospers, he makes a point of operating quietly and dressing with a modest conservatism both as a sign of strength and to avoid attracting police attention. Also, he stays away from the drugs to avoid making hard decisions under the influence. However, Lucas violates these principles when he attends the Fight of the Century with Eva, sporting gaudy clothes that were a present by Eva; Roberts attends the fight, notices the previously unknown Lucas with even better seats than the Italian mobsters, and investigates him. Meanwhile, Lucas needs to deal with Lucchese mafia boss Dominic Cattano, who threatens to destroy Lucas' family unless he gets in on a deal, and corrupt NYPD detectives led by Nick Trupo, who attempts to extort and blackmail him to give them a cut. Lucas must also compete with local crime figure Nicky Barnes, a young gun trying to take over Harlem who has been diluting Lucas' Blue Magic and selling it under the same brand name. After the Fall of Saigon cuts off Lucas' supply, he is forced to rely on the other crime rings. Roberts' detectives witness Frank Lucas' cousin and driver shoot a woman and then use the threat of a long sentence to get him to wear a wire. The gathered information allows Roberts and his task force to identify and search one of the last planes carrying Lucas' stock, discovering Blue Magic in the coffins of dead returning servicemen. With this evidence they obtain a warrant to follow the drugs into Newark's projects and Lucas' heroin processing facility. In the ensuing shootout, Steve Lucas, Frank Lucas' young nephew who gave up a promising career for the New York Yankees to join Lucas' crime family, is killed. Meanwhile, Trupo, whose prized Shelby Mustang Lucas had destroyed, and his men break into Lucas' mansion to steal his emergency cash supply hidden under the doghouse, killing the dog. As Lucas gets ready to go after Trupo, his mother dissuades him from killing a cop, warning him that she and Eva will leave him if he does. Lucas is arrested after Roberts' team conducts a raid on the shops run by his brothers. In the police station, Lucas offers to bribe Roberts, but is rebuffed. Instead, Roberts offers Lucas a chance at a shorter jail sentence if he aids his investigation of dirty cops in the NYPD and Lucas duly provides Roberts with the names. In the end, three quarters of the New York DEA are arrested and convicted, and a distraught Trupo commits suicide. Roberts, having just passed the bar exam, defends Lucas as his first client. Lucas is sentenced to 70 years in prison, of which he serves 15 years and is released in 1991. </s>"	He buys a mansion for his mother and hires his brothers to work for him.[<@>]He buys his mother a mansion and has his brothers come work for him </s>
